id,total_value,neighborhood,pclass,p13_date,sqft,bathrooms,bedrooms,allrooms,stories,units,zoning,construction,year_built,basement_sqft,lot_sqft,change_date,sales_date,recordation_date,zipcode
1481584,835141,Parkside,Dwelling,2011-12-28,1480,3.0,3,6,1,1,RH1,D,1939,318,3000,09/01/2009,12/08/1990,12/28/2011,94116
697676,748072,Outer Sunset,Dwelling,1998-10-01,1646,2.0,3,7,1,1,RH1,D,1927,0,3000,10/01/1998,02/27/1940,02/27/1940,94122
342724,82109,Bayview,Dwelling,1999-08-01,2000,2.0,3,7,1,1,RH1,D,1937,520,2495,08/01/1999,,11/07/1979,94124
611421,578906,Pacific Heights,Condominium,1997-01-01,862,1.0,1,3,1,1,RH1,D,1960,0,0,01/01/1997,02/20/1921,02/20/1921,94115
1376369,424881,Parkside,Dwelling,1996-02-01,2050,2.0,3,7,1,1,RH1,D,1939,725,2996,02/01/1996,08/25/1995,07/09/1930,94116
858038,882991,Noe Valley,Dwelling,2010-07-23,968,2.0,2,4,1,1,RH2,D,1900,0,1999,08/01/1999,07/23/2010,07/23/2010,94114
1093282,208430,Pacific Heights,Condominium,2012-05-15,750,2.0,1,3,0,1,RC4,D,1987,0,0,06/01/1998,,05/15/2012,94109
172014,914154,Parkside,Dwelling,2005-11-01,1800,2.0,3,10,1,1,RH1,D,1935,0,3000,11/01/2005,01/30/1941,01/30/1941,94116
1191498,201600,Outer Sunset,Dwelling,1999-08-01,980,1.0,2,5,1,1,RH1,D,1943,180,1853.25,08/01/1999,,08/14/1990,94122
289268,2093492,Noe Valley,Dwelling,1997-01-01,2077,3.0,3,7,1,1,RH1,D,1904,0,2850,01/01/1997,05/18/1940,05/18/1940,94114
1857621,710682,Noe Valley,Condominium,2011-04-14,1030,1.0,2,5,1,1,RH2,D,1921,0,865,05/01/1998,04/14/2011,04/14/2011,94114
818478,770493,Pacific Heights,Condominium,2014-06-18,1716,2.0,3,5,1,1,RH1,D,1960,0,0,12/01/1997,06/18/2014,06/18/2014,94115
1058478,1855727,Noe Valley,Dwelling,1997-04-01,2736,3.0,3,6,2,1,RH1,D,1940,976,2850,04/01/1997,06/25/1940,06/25/1940,94131
1467262,254716,Pacific Heights,Condominium,2012-05-15,1410,3.0,2,4,0,1,RC4,D,1987,0,0,06/01/1998,,05/15/2012,94109
1607779,621950,Pacific Heights,Condominium,2012-04-11,862,1.0,1,3,1,1,RH1,D,1960,0,0,08/01/1999,04/11/2012,04/11/2012,94115
86754,1911638,Pacific Heights,Condominium,2012-09-26,1045,2.0,1,7,3,1,RM1,D,1900,0,0,09/01/1998,09/26/2012,09/26/2012,94115
